__label__cb	"Sentence: ""Which Canadian Celebrity Should You Marry Based On Your Zodiac Sign""   [− Tokens: 11]"
__label__cb	"Sentence: ""Are You More Meredith Grey Or Meredith Grey""   [− Tokens: 8]"
__label__cb	"Sentence: ""We Tried To Stop Using Exclamation Points And It Was So Hard""   [− Tokens: 12]"
__label__not cb	"Sentence: ""Teamsters site suggests Tigger pardoned""   [− Tokens: 5]"
__label__cb	"Sentence: ""Roommates Played Very Honest Game Of "" Truth Or Drink """"   [− Tokens: 11]"
__label__cb	"Sentence: ""28 Gooey Brownies That 'll Change Your Life Forever""   [− Tokens: 9]"
__label__not cb	"Sentence: ""According to UN report , bribes cost Afghans US $ 2.5 billion per year""   [− Tokens: 14]"
__label__cb	"Sentence: ""How Chill Are You""   [− Tokens: 4]"
__label__cb	"Sentence: ""32 Ridiculously Clever Group Halloween Costumes""   [− Tokens: 6]"
__label__cb	"Sentence: ""These High School Students Just Shut It Down With This Epic Lip Dub Video""   [− Tokens: 14]"
__label__not cb	"Sentence: ""Fred Thompson wins Georgetown County straw poll""   [− Tokens: 7]"
__label__not cb	"Sentence: ""Alcatel Chief Tries to Paint a Rosy Picture""   [− Tokens: 8]"
__label__not cb	"Sentence: ""America 's atomic bombing commemoration held in Hiroshima""   [− Tokens: 8]"
__label__cb	"Sentence: ""Andy Garcia Has Committed To A Full Beard""   [− Tokens: 8]"
__label__not cb	"Sentence: ""Tiger Woods Is in an Open State of Mind""   [− Tokens: 9]"
__label__cb	"Sentence: ""An Adorable Animals Advent Calendar : December 5""   [− Tokens: 8]"
__label__cb	"Sentence: ""Which Classical Composer Best Suits Your Taste""   [− Tokens: 7]"
__label__cb	"Sentence: ""We Know How Addicted You Are To Social Media Based On One Question""   [− Tokens: 13]"
__label__cb	"Sentence: ""George Takei Took Down An Internet Troll And It Was Perfect""   [− Tokens: 11]"
__label__not cb	"Sentence: ""Third Death Near Freeport Mine in Indonesia""   [− Tokens: 7]"
__label__cb	"Sentence: ""This Physicist Shot Himself Underwater To See What Would Happen""   [− Tokens: 10]"
__label__not cb	"Sentence: ""U.S. automaker Chrysler wants to eliminate 789 dealerships""   [− Tokens: 8]"
__label__not cb	"Sentence: ""Fiery Egyptian tourist bus crash kills nine""   [− Tokens: 7]"
__label__not cb	"Sentence: ""Mike Rodgers and Carmelita Jeter Win U.S. Titles in 100""   [− Tokens: 10]"
__label__not cb	"Sentence: ""Duke upset by FSU""   [− Tokens: 4]"
__label__cb	"Sentence: """" Downton Abbey "" Star Michelle Dockery 's Partner Has Died At The Age Of 34""   [− Tokens: 16]"
__label__not cb	"Sentence: ""Forget the Cigarette Lighter Adapter . Now You Can Dock Your iPod in the Car Radio .""   [− Tokens: 17]"
__label__cb	"Sentence: ""Taraji P. Henson Ruins James Corden 's Life At Cookie Lyon Audition""   [− Tokens: 12]"
__label__cb	"Sentence: ""18 Times Kelly Kapoor Perfectly Captured The Struggle That Is Life""   [− Tokens: 11]"
__label__not cb	"Sentence: ""On State Secrets , Obama Is Sounding Like Bush""   [− Tokens: 9]"
__label__cb	"Sentence: ""7 Seriously Legit Ways You Can Earn $$$ Working From Home""   [− Tokens: 11]"
__label__not cb	"Sentence: ""Second controlled explosion to be carried out in Bristol , United Kingdom""   [− Tokens: 12]"
__label__cb	"Sentence: ""Prince Harry Has Grown A Scruffy Beard For His Birthday And People Are Into It""   [− Tokens: 15]"
__label__not cb	"Sentence: ""Final launch of Space Shuttle Discovery delayed until at least Thursday""   [− Tokens: 11]"
__label__cb	"Sentence: ""An Amputee Was n't Allowed To Board Her Flight Until She Stripped And Removed Her Prosthetic Leg""   [− Tokens: 17]"
__label__not cb	"Sentence: ""Bird flu resistant to anti-viral drug""   [− Tokens: 6]"
__label__cb	"Sentence: ""What Is The Most Random Halloween Costume Your Kid Has Come Up With""   [− Tokens: 13]"
__label__cb	"Sentence: ""18 People Who Probably Regret Becoming Stock Photo Models""   [− Tokens: 9]"
__label__not cb	"Sentence: ""US , North Korea form agreement to search for war dead""   [− Tokens: 11]"
__label__cb	"Sentence: ""We Need To Talk About Mariah Carey""   [− Tokens: 7]"
__label__cb	"Sentence: ""24 Reasons Why Netflix Is The Most Important Thing In Your Life""   [− Tokens: 12]"
__label__cb	"Sentence: ""15 Times "" Broad City "" Was The Best Part Of 2015""   [− Tokens: 12]"
__label__cb	"Sentence: ""17 Disney Nutella Memes Guaranteed To Make You Laugh Out Loud""   [− Tokens: 11]"
__label__cb	"Sentence: ""Are You And Your Best Friend More Kendall And Cara Or Kendall And Gigi""   [− Tokens: 14]"
__label__not cb	"Sentence: ""Changes in Fred Thompson US Presidential campaign""   [− Tokens: 7]"
__label__not cb	"Sentence: ""Intel launches Centrino 2 aiming for performance and mobility""   [− Tokens: 9]"
__label__not cb	"Sentence: ""Thai PM barred from politics , three parties dissolved""   [− Tokens: 9]"
__label__not cb	"Sentence: ""Hurricane Humberto messes with forecasters and Texas""   [− Tokens: 7]"
__label__cb	"Sentence: ""15 Mind-Blowing Ways To Eat Apples""   [− Tokens: 6]"
__label__cb	"Sentence: ""17 Words That Take On New Meaning When You Have Periods""   [− Tokens: 11]"
__label__cb	"Sentence: ""19 Times "" Adventure Time "" Really Wanted To Make You Cry""   [− Tokens: 12]"
__label__not cb	"Sentence: ""Protesters arrested after barricading themselves inside portion of Keystone Oil Pipeline""   [− Tokens: 11]"
__label__cb	"Sentence: ""Zayn Malik Has Grey Hair Now And People Are Losing Their Damn Minds""   [− Tokens: 13]"
__label__cb	"Sentence: ""17 YouTube Channels That Will Teach You A Damn Thing""   [− Tokens: 10]"
__label__not cb	"Sentence: ""Islamists Overrun Somalia City as Ethiopians Leave""   [− Tokens: 7]"
__label__not cb	"Sentence: ""Thai junta partially lifts political ban""   [− Tokens: 6]"
__label__cb	"Sentence: ""These Floating Bonsai Trees Look Like Actual Magic""   [− Tokens: 8]"
__label__not cb	"Sentence: ""Large fires kill many in Dhaka , Bangladesh""   [− Tokens: 8]"
__label__not cb	"Sentence: ""Veterans Affairs Struggles With Backlog of Disability Claims""   [− Tokens: 8]"
__label__not cb	"Sentence: ""Air Canada to lay off over a thousand machinists""   [− Tokens: 9]"
__label__cb	"Sentence: ""People With A Fear Of Dogs Meet Pit Bull Puppies""   [− Tokens: 10]"
__label__not cb	"Sentence: ""U.S. soldiers engaged in gore-for-porn swap""   [− Tokens: 6]"
__label__not cb	"Sentence: ""European Shares Mixed After a Jump in Asia""   [− Tokens: 8]"
__label__cb	"Sentence: ""36 Animal Moments That Changed The World In 2015""   [− Tokens: 9]"
__label__cb	"Sentence: ""We Read An Erotic Trudeau-Inspired Story And Were Only Mildly Aroused""   [− Tokens: 11]"
__label__cb	"Sentence: ""21 Of The Most Endearingly Dorky Old Facebook Posts From Justin Trudeau""   [− Tokens: 12]"
__label__not cb	"Sentence: ""Anonymous people reveal animal cruelty at Australian Inghams poultry producer factory using CCTV footage""   [− Tokens: 14]"
__label__cb	"Sentence: ""18 Photos That Are Too Real For Girls Who Ca n't Braid""   [− Tokens: 12]"
__label__cb	"Sentence: ""Do You Know The Names Of These "" Scandal "" Characters""   [− Tokens: 11]"
__label__cb	"Sentence: ""We Know How Tall You Are Based On Popular Foods You 've Never Eaten""   [− Tokens: 14]"
__label__cb	"Sentence: ""Lady Gaga Just Casually Slayed The JFK Airport Terminal""   [− Tokens: 9]"
__label__cb	"Sentence: ""22 Things That Will Inevitably Happen When You Live With Your Best Friend""   [− Tokens: 13]"
__label__cb	"Sentence: ""Are You More Han Solo Or Indiana Jones""   [− Tokens: 8]"
__label__not cb	"Sentence: ""With Son in Remission , a Family Struggles to Find Coverage""   [− Tokens: 11]"
__label__cb	"Sentence: ""19 Reasons Dogs Are Actually The Best Part of Any Party""   [− Tokens: 11]"
__label__not cb	"Sentence: ""U.S. Overtures Find Support Among Cuban-Americans""   [− Tokens: 6]"
__label__cb	"Sentence: ""This Is What Happens When You Get Drunk""   [− Tokens: 8]"
__label__not cb	"Sentence: ""Man arrested in India after mid-air hijack threat on domestic flight""   [− Tokens: 11]"
__label__cb	"Sentence: ""Which Classic Guitar Riff Are You""   [− Tokens: 6]"
__label__not cb	"Sentence: ""Libertarian National Committee in fierce deadlock over how to address growing Bob Barr controversies""   [− Tokens: 14]"
__label__not cb	"Sentence: ""Witness to Say She Saw Bonds Being Injected""   [− Tokens: 8]"
__label__cb	"Sentence: ""Tell Us About A Time You Peed Yourself""   [− Tokens: 8]"
__label__not cb	"Sentence: ""Delta II rocket launches GLAST observatory""   [− Tokens: 6]"
__label__not cb	"Sentence: ""Apartment block blaze kills nine in Mississippi , US""   [− Tokens: 9]"
__label__cb	"Sentence: ""19 Unapologetic Songs About Cheating""   [− Tokens: 5]"
__label__cb	"Sentence: ""9 Sweet Stories Of Roommates Who Became Best Friends""   [− Tokens: 9]"
